word,atom_id,embedding_score,a1_cosine,a1_margin,a1_l2,top2_atom,focus_rate
form,ACT.create,0.5568,0.888645,-0.031901,9.662542,ACT.make,0.6716
carnal,BEI.beast,0.3306,0.921634,-0.031966,8.891439,BOD.hand,0.5348
easy,PRP.easy,0.4604,0.911512,-0.032082,12.935356,PRP.single,0.4966
travel,ACT.move,0.4075,0.871076,-0.032152,5.988741,ELM.wind,0.5809
mitt,BOD.hand,0.4648,0.902307,-0.032176,6.383217,BOD.eye,0.5848
empty,EXS.void,0.5335,0.695498,-0.032322,12.618699,BEI.root,0.6354
pleasure,EMO.pleasure,0.6875,0.879321,-0.032339,8.702568,EMO.satisfaction,0.583
federal reserve note,ECO.currency,0.5148,0.773894,-0.032449,13.877403,EXS.physical_body,0.39
propose,COG.intention,0.3966,0.856431,-0.032459,8.174202,COM.question,0.3367
danger,STA.danger,0.7325,0.854981,-0.03249,7.207635,ACT.destroy,0.4868
still,COM.silence,0.5684,0.885423,-0.032595,6.593113,PRP.clean,0.519
concern,EMO.anxiety,0.4874,0.90886,-0.032682,6.053426,EMO.doubt,0.7663
accolade,EMO.respect,0.3862,0.900103,-0.032736,5.23721,SOC.praise,0.3773
temporal,FND.temporality,0.5879,0.854883,-0.032752,10.281521,FND.time,0.4058
giving,ACT.give,0.7943,0.886621,-0.032782,8.265655,SOC.defend,0.5001
exposure,STA.danger,0.5692,0.857807,-0.032798,6.535289,ECO.loss,0.8718
personal,FND.body,0.5442,0.902839,-0.032838,7.743546,PRP.old,0.7524
clutch,BOD.hand,0.3997,0.914098,-0.032838,6.204851,BOD.face,0.5351
sweetened,PER.sweet,0.5414,0.924329,-0.032959,9.572153,PRP.old,0.5109
render,ACT.give,0.334,0.858894,-0.032991,5.651557,SOC.praise,0.362
perfume,PER.smell,0.7093,0.887332,-0.032992,6.914638,MAT.clothing,0.5952
sun,ELM.sun,0.556,0.809229,-0.033019,6.808974,NAT.sea,0.7236
angriness,EMO.anger,0.7315,0.907298,-0.033231,8.295875,ABS.foolish,0.7124
pabulum,MAT.food,0.715,0.875049,-0.033341,5.850203,PRP.bright,0.8122
coarse-textured,PRP.rough,0.4761,0.861909,-0.033376,11.028523,PRP.possible,0.6042
climb up,ACT.ascend,0.5404,0.908538,-0.033388,6.843551,PRP.small,0.6031
toil,FND.labor,0.5741,0.901872,-0.033527,11.449239,WLD.art,0.5698
chitchat,BOD.mouth,0.3691,0.841066,-0.033553,15.8709,ACT.give,0.4284
travel,ACT.go,0.6869,0.898022,-0.033676,6.12268,PRP.large,0.8682
flame,ELM.fire,0.6422,0.777804,-0.033772,13.056528,STA.healing,0.3412
rearing,BEI.parent,0.5481,0.86958,-0.033797,11.976555,EMO.apology,0.452
distress,STA.pain,0.5886,0.869349,-0.033818,8.535519,ACT.lose,0.8601
human,BEI.human,0.7688,0.868931,-0.033921,11.333006,EXS.presence,0.5855
mouth,BOD.mouth,0.6905,0.823179,-0.033944,12.417133,BEI.root,0.5348
civilization,WLD.culture,0.3696,0.738782,-0.034088,19.519822,SOC.nation,0.3666
trenchant,REL.different,0.3779,0.821971,-0.034114,6.129372,COM.teach,0.3367
pureness,PRP.clean,0.4313,0.916243,-0.034145,5.09847,PRP.strong,0.5788
honor,EMO.respect,0.5465,0.910781,-0.034149,7.307516,ABS.responsibility,0.5593
desiccation,PRP.dry,0.6135,0.901371,-0.034168,5.330359,BOD.eye,0.664
model,WLD.art,0.4709,0.883709,-0.034179,6.053528,SPC.direction,0.799
disapprove,EMO.dislike,0.3163,0.877235,-0.034183,7.075779,SOC.refuse,0.4072
construction,ACT.create,0.3707,0.877136,-0.034256,13.081635,ACT.make,0.4894
clear,ECO.earn,0.3925,0.866561,-0.034263,7.984321,PRP.possible,0.5796
form,EXS.physical_body,0.5838,0.92011,-0.03427,6.545562,PRP.hard,0.7169
snip,MAT.clothing,0.3868,0.84074,-0.034289,10.420118,SOC.pass,0.6832
solid food,MAT.food,0.6552,0.890409,-0.034348,6.91682,MAT.tool,0.7771
respite,ACT.lie_down,0.5486,0.923925,-0.034386,6.864852,PER.untouched,0.595
spiritual,WLD.religion,0.5647,0.83513,-0.03444,14.64925,VAL.sacred,0.4499
concealment,COM.secret,0.5847,0.827,-0.034486,5.798825,FND.uninformed,0.538
manufacture,ACT.create,0.5624,0.834506,-0.034666,10.308117,ACT.make,0.5732
submersion,ACT.sink,0.7489,0.834794,-0.034798,7.234928,PRP.dry,0.5322
botheration,STA.pain,0.3086,0.915828,-0.034859,7.049661,ECO.waste,0.6162
conclusion,COG.think,0.4896,0.864313,-0.034923,10.648754,CHG.end,0.5425
wind,ACT.rise,0.3777,0.874325,-0.035019,10.136388,STA.healing,0.5221
enclothe,MAT.clothing,0.4902,0.905082,-0.035113,8.358162,ACT.obtain,0.6845
gentle,PRP.soft,0.4245,0.908334,-0.035152,5.535807,PRP.hard,0.6817
retrieve,COG.remember,0.548,0.840084,-0.035234,9.467033,FND.uninformed,0.6203
track,ACT.move,0.3846,0.823474,-0.035496,6.617508,EXS.matter,0.9691
departure,ACT.exit,0.7489,0.837919,-0.035543,7.233904,ACT.leave,0.4835
selling,ECO.sell,0.6892,0.882372,-0.035801,5.586415,ACT.give,0.5759
agedness,PRP.aged,0.636,0.899714,-0.03581,6.186869,PER.tasteless,0.4108
tail end,ACT.sit,0.5683,0.688251,-0.035936,11.741308,BOD.hip,0.6713
food waste,ECO.waste,0.6518,0.740584,-0.0361,10.135257,PRP.slow,0.4929
alcoholic drink,MAT.drink,0.5441,0.781294,-0.036132,11.236402,ACT.take,0.8237
purity,PRP.clean,0.4313,0.901789,-0.036184,5.5995,STA.wealth,0.4646
currency,ECO.currency,0.5317,0.85072,-0.036457,6.14287,PRP.part,0.3366
weak,PRP.weak,0.6083,0.933128,-0.03649,7.513652,PER.bitter,0.6175
admiration,EMO.respect,0.4752,0.894618,-0.036494,5.403684,EMO.trust,0.4526
earnings,ECO.income,0.4879,0.831555,-0.036517,12.645946,COG.remember,0.5524
mind,COG.forget,0.421,0.876901,-0.036526,9.959756,COM.secret,0.6349
tasting,PER.taste,0.6241,0.918566,-0.0366,8.625804,PER.untouched,0.4674
surgical gown,MAT.clothing,0.4763,0.917472,-0.036603,6.825457,BOD.hand,0.6762
gelid,PRP.cold,0.4179,0.776838,-0.036661,14.199216,ELM.star,0.4312
sadness,EMO.sorrow,0.5389,0.916545,-0.036746,8.526124,EMO.anger,0.4647
authorisation,SOC.official,0.3363,0.693874,-0.03677,10.50965,COG.instinct,0.5679
face,BOD.face,0.7037,0.85427,-0.036775,11.785136,PRP.part,0.4983
seat,ACT.sit,0.6198,0.903618,-0.036776,6.302775,BOD.eye,0.5731
honestness,VAL.truth,0.5326,0.873571,-0.036894,7.667112,ABS.wise,0.573
seraphic,PER.sweet,0.5549,0.794417,-0.036971,7.830188,PRP.wet,0.6751
modest,PRP.small,0.4663,0.902515,-0.036984,6.533058,PRP.low,0.3626
dissolution,ACT.dissolve,0.6356,0.551071,-0.03735,13.291416,COM.conduct,0.5574
rough,PRP.rough,0.465,0.888592,-0.037355,11.956347,PRP.shallow,0.5262
peril,STA.danger,0.6252,0.851636,-0.037378,10.773579,EXS.death,0.6906
seizure,ACT.take,0.462,0.839668,-0.037448,10.493302,SOC.attack,0.4163
bare,MAT.naked,0.5344,0.911761,-0.037458,9.564746,PER.untouched,0.5311
assemblage,ACT.build,0.4929,0.823166,-0.037463,8.37886,BEI.root,0.8667
luminousness,PRP.bright,0.5935,0.874674,-0.037544,5.158199,ACT.sit,0.5216
find,PER.see,0.615,0.889972,-0.037701,6.871122,PER.taste,0.6436
alimentation,MAT.food,0.5437,0.802872,-0.037709,8.454811,ACT.fall,0.694
flower,NAT.flower,0.5864,0.846658,-0.037718,12.257734,ACT.create,0.4745
subvert,ACT.destroy,0.3821,0.846126,-0.037783,8.367178,ECO.loss,0.6108
shifting,ACT.move,0.5684,0.824876,-0.037842,6.947533,ACT.emit,0.462
hike,ACT.rise,0.3609,0.911143,-0.037985,8.888167,PER.untouched,0.4709
purpose,COG.intention,0.6051,0.906899,-0.038016,8.727279,ABS.wise,0.6661
drip,ACT.descend,0.3688,0.85642,-0.038083,8.155558,PRP.wet,0.8079
freezing,PRP.cold,0.4365,0.874159,-0.038087,7.512808,ELM.fire,0.8901
tempt,EMO.desire,0.3195,0.867053,-0.038148,6.881873,WLD.unskilled,0.6903
body,FND.body,0.4824,0.81999,-0.03827,12.639719,BEI.root,0.4769
anatomical,EXS.physical_body,0.627,0.852582,-0.038393,13.827564,FND.spatiality,0.4504
naked,MAT.naked,0.5344,0.838199,-0.038418,8.267973,BOD.face,0.815
get up,ACT.rise,0.5255,0.912344,-0.03842,7.028839,ACT.sit,0.5999
want,STA.poverty,0.7237,0.892434,-0.038507,7.47753,PER.blind,0.5635
get together,COM.cooperate,0.3902,0.832084,-0.03851,9.729783,REL.together,0.6604
value,COG.think,0.3437,0.890158,-0.03895,8.550351,COG.enlightenment,0.6857
terror,EMO.fear,0.7679,0.923853,-0.038955,7.02747,EMO.worry,0.6767
climb,ACT.rise,0.4424,0.918831,-0.03897,9.46276,PER.untouched,0.4618
deceit,VAL.falsehood,0.758,0.843432,-0.039139,10.114834,EMO.worry,0.7224
logical system,FND.logic,0.6195,0.823903,-0.039196,14.583214,WLD.science,0.4731
work,SOC.work,0.5877,0.819767,-0.039274,22.537638,FND.labor,0.318
bitterness,PER.bitter,0.7062,0.907776,-0.039298,9.723522,PER.blind,0.4315
ride,ACT.sit,0.3511,0.843091,-0.039318,10.415612,PRP.near,0.5822
memory,FND.memory,0.6025,0.856976,-0.039334,13.757959,COG.know,0.4533
defrayment,ECO.pay,0.5863,0.738354,-0.039334,7.925255,ABS.exempt,0.3694
deposit,ECO.pay,0.4067,0.834654,-0.039368,6.383319,COM.teach,0.6357
female,BEI.female,0.5321,0.827269,-0.039399,16.042222,PRP.aged,0.449
put down,TIM.come,0.3029,0.839173,-0.039401,8.961234,ACT.move,0.7044
lock,BOD.hand,0.4127,0.845434,-0.039452,12.608405,FND.labor,0.4772
regulate,SOC.official,0.4069,0.753417,-0.039453,10.171173,COM.cooperate,0.509
nip,PER.taste,0.6104,0.892616,-0.039483,7.081479,PER.touch,0.7025
apprehensiveness,EMO.fear,0.5552,0.907363,-0.039504,5.602262,WLD.unskilled,0.7977
clean,PRP.clean,0.5753,0.918359,-0.039533,6.569201,ACT.rise,0.6511
aromatic,PER.fragrance,0.3553,0.87324,-0.039721,6.66462,PRP.wet,0.624
produce,LOG.cause,0.5346,0.693074,-0.03979,13.509368,COM.cooperate,0.6454
progress,ACT.build,0.3746,0.860516,-0.039824,13.881016,SPC.direction,0.3108
firing,ABS.release,0.3531,0.812946,-0.039876,14.07335,ACT.agitate,0.4918
luxuriousness,STA.wealth,0.7291,0.853036,-0.040162,10.735,ACT.give,0.4328
inexpert,WLD.unskilled,0.6004,0.872188,-0.040285,5.957323,COG.confusion,0.3382
produce,MAT.food,0.4138,0.860096,-0.040344,7.484231,PER.salty,0.8308
drinkable,MAT.drink,0.6178,0.892006,-0.040351,7.592262,PER.sweet,0.7263
work out,SOC.work,0.4068,0.759383,-0.040398,10.455444,COM.teach,0.6681
rest period,ACT.lie_down,0.5486,0.893862,-0.040446,9.831201,SOC.sleep,0.5909
study,COG.learn,0.3589,0.885774,-0.040465,9.215147,COG.remember,0.5644
mantrap,VAL.beauty,0.4716,0.836878,-0.040513,10.84761,PER.sound,0.6038
stir,ACT.move,0.5281,0.889627,-0.040537,9.070976,ACT.emit,0.6618
risk of infection,STA.danger,0.3381,0.882981,-0.040621,6.192738,SOC.attack,0.4011
esthetical,WLD.art,0.6921,0.830548,-0.040672,6.813012,EXS.vitality,0.9468
stymy,SOC.obstruct,0.3646,0.831402,-0.040678,7.604489,ACT.destroy,0.525
excruciation,STA.pain,0.6457,0.857766,-0.040731,8.702194,PRP.dark,0.5231
gleeful,EMO.joy,0.7187,0.880145,-0.040741,11.446147,VAL.good,0.502
ambulation,BOD.foot,0.3951,0.808776,-0.040764,14.044504,SOC.sleep,0.4485
come,ACT.arrive,0.4976,0.932688,-0.040874,8.261414,PRP.clean,0.7118
kin,SOC.family,0.6165,0.804846,-0.040923,8.462115,COM.cooperate,0.8165
unmindful,COG.mindless,0.3732,0.812434,-0.040933,11.303423,ABS.foolish,0.5891
call back,FND.memory,0.5152,0.908567,-0.040953,6.808697,COG.know,0.7124
artless,WLD.uncultured,0.532,0.921617,-0.040991,5.421849,EMO.pride,0.9496
vocalization,COM.speak,0.6428,0.844743,-0.041021,14.848619,TIM.now,0.5497
miss,ECO.loss,0.4828,0.856344,-0.041032,13.061224,SOC.stateless,0.57
gustatory perception,PER.taste,0.7418,0.918892,-0.041039,8.542594,PER.untouched,0.4622
rise,ACT.ascend,0.4616,0.808646,-0.041142,7.214463,PRP.wide,0.639
declension,ACT.descend,0.6329,0.862718,-0.041157,6.153641,NAT.sea,0.7541
dark,PRP.dark,0.8876,0.836556,-0.04119,7.283044,ACT.dissolve,0.4806
small,PRP.small,0.4663,0.867185,-0.041569,7.91096,ACT.sit,0.6346
speed,PRP.fast,0.5998,0.855515,-0.04157,14.578557,PRP.slow,0.3943
vote,SOC.citizen,0.342,0.775299,-0.041571,18.862793,ECO.pay,0.3526
console,ACT.calm,0.5308,0.922559,-0.04168,6.434521,EMO.forgiveness,0.5076
disdain,EMO.dislike,0.4333,0.915178,-0.041727,8.737754,EMO.unhappiness,0.6024
sugared,PER.sweet,0.5414,0.898375,-0.041747,6.040138,PRP.hot,0.7401
passing,ACT.exit,0.3996,0.80547,-0.041754,7.759709,PRP.wet,0.3959
benumb,PER.numb,0.5103,0.883902,-0.041792,6.874106,PRP.weak,0.7123
savourless,PER.tasteless,0.5387,0.893546,-0.041838,10.724679,WLD.artless,0.4886
grant,ACT.give,0.6737,0.874527,-0.042007,6.28724,SOC.defend,0.4755
talk,COM.speak,0.5545,0.872988,-0.042036,15.761544,COM.question,0.4921
compounding,ACT.make,0.486,0.843164,-0.042081,13.501354,ACT.build,0.5168
habiliment,MAT.clothing,0.6394,0.893045,-0.042128,11.842418,PER.soundless,0.4622
butt,ACT.sit,0.5683,0.873721,-0.042156,11.937266,SOC.sleep,0.4319
background knowledge,FND.information,0.4076,0.870637,-0.042192,12.55055,VAL.correct,0.5588
innovative,ACT.make,0.5011,0.836562,-0.042345,11.51396,ACT.create,0.4856
erosion,CHG.decay,0.4218,0.854201,-0.042416,12.64245,ACT.dissolve,0.4787
excoriation,STA.wound,0.4549,0.942541,-0.042441,6.246755,PRP.dirty,0.7016
luxury,STA.wealth,0.7291,0.845161,-0.042465,7.912979,ECO.money,0.4386
plant,BEI.plant,0.5671,0.832871,-0.042488,10.697218,CHG.grow,0.6388
moral excellence,VAL.good,0.5105,0.879815,-0.042524,12.956248,EMO.apology,0.4817
rotten,CHG.decay,0.5632,0.898218,-0.042629,9.771786,VAL.ugliness,0.4874
rejoice,EMO.joy,0.763,0.889293,-0.042736,8.622506,EMO.apology,0.4765
flavor,PER.taste,0.6104,0.881405,-0.042899,8.085538,BOD.hand,0.5612
constituent,PRP.part,0.5566,0.859852,-0.042905,6.36029,WLD.realm,0.3596
era,TIM.period,0.6907,0.695453,-0.042926,8.981875,FND.numberless,0.368
utter,BOD.mouth,0.3943,0.808537,-0.043022,19.052714,EMO.manifest,0.4006
breathe,ACT.lie_down,0.4707,0.84216,-0.043124,8.153347,SOC.sleep,0.8563
planer,PRP.smooth,0.3639,0.838891,-0.043155,10.005172,EXS.vitality,0.729
high,PRP.high,0.5223,0.896945,-0.043173,5.52876,SPC.place,0.5521
hamper,ABS.bound,0.4389,0.842354,-0.043215,9.044971,ECO.pay,0.6257
ramify,COG.separate,0.4199,0.653203,-0.043238,9.616845,CHG.retreat,0.5754
trustingness,EMO.trust,0.6284,0.84373,-0.043254,8.34258,SOC.request,0.8058
keep,SOC.defend,0.4639,0.797105,-0.043274,6.009341,SOC.homeless,0.3653
commute,ACT.go,0.3922,0.76522,-0.043297,7.370135,CHG.retreat,0.3621
clutches,BOD.hand,0.3997,0.815709,-0.043516,9.242549,BOD.face,0.5938
granulose,PRP.rough,0.431,0.840845,-0.043522,8.118941,PRP.blunt,0.7537
garner,ECO.earn,0.3441,0.80768,-0.043527,15.793127,ECO.pay,0.4869
go on,CHG.advance,0.6063,0.723385,-0.043535,5.853151,COG.think,0.9696
aim,COG.intention,0.6051,0.901971,-0.043571,5.951998,ABS.wise,0.6482
disbelief,EMO.doubt,0.5559,0.848989,-0.043594,7.011455,EMO.pride,0.509
force,ACT.move,0.4792,0.785077,-0.043632,11.906612,LOG.effect,0.5479
mental confusion,COG.confusion,0.4635,0.919334,-0.043724,8.318906,EMO.dislike,0.7448
instruction,COG.learn,0.4931,0.837641,-0.043896,7.613054,COM.question,0.781
trueness,VAL.truth,0.5563,0.890623,-0.043974,12.846893,FND.language,0.5149
perfumed,PER.sweet,0.3474,0.894249,-0.044066,7.519336,BOD.face,0.6269
memorisation,COG.learn,0.4254,0.869884,-0.044172,12.053222,COG.remember,0.6307
balefire,ELM.fire,0.5877,0.761935,-0.044174,11.165485,SOC.village,0.785
star,ELM.star,0.5692,0.889279,-0.044198,11.282111,PRP.long,0.5097
comfort,ACT.calm,0.5308,0.92947,-0.044254,4.97279,EMO.forgiveness,0.5466
attire,MAT.clothing,0.5673,0.895766,-0.044412,7.304441,PER.touch,0.6178
possibleness,PRP.possible,0.4983,0.559612,-0.044575,12.18019,LOG.effect,0.4532
harsh,PRP.rough,0.3153,0.827606,-0.044615,7.677202,ELM.wind,0.9573
dress,MAT.clothing,0.5881,0.885919,-0.044745,8.79789,PER.taste,0.4945
pelvic arch,BOD.hip,0.4657,0.869541,-0.044756,8.554732,BOD.foot,0.5816
chemical,EXS.matter,0.4761,0.790487,-0.044788,7.400496,ELM.earth,0.9922
oral fissure,BOD.mouth,0.5272,0.840378,-0.044878,12.549634,ACT.fall,0.6295
virtuousness,VAL.good,0.5105,0.911672,-0.044915,8.515664,EMO.courage,0.567
frame,EXS.physical_body,0.5838,0.878659,-0.044917,11.221222,COG.separate,0.5679
safeguard,SOC.defend,0.5461,0.819262,-0.044922,12.169683,PRP.clear,0.4642
patience,EMO.patience,0.6961,0.896691,-0.045062,10.885698,EMO.like,0.5592
textured,PRP.rough,0.4761,0.831717,-0.045364,9.129449,SPC.outside,0.665
drive,FND.labor,0.4194,0.74084,-0.045402,11.371764,BEI.parent,0.7039
sell,ECO.sell,0.4993,0.858247,-0.045448,5.884858,ACT.give,0.3576
hide,COM.secret,0.6121,0.857311,-0.045597,11.378234,FND.uninformed,0.6384
stretch,PRP.long,0.3668,0.895245,-0.045602,3.310653,PRP.wide,0.3952
elevation,ACT.rise,0.5669,0.80753,-0.045644,8.25692,BOD.face,0.5835
land,SOC.nation,0.5428,0.627595,-0.045682,8.439596,WLD.realm,0.8912
promotion,SOC.praise,0.3998,0.841086,-0.045804,7.821669,ABS.release,0.3014
tea,MAT.drink,0.4543,0.875648,-0.045947,8.454898,ACT.go,0.5743
snuff it,ACT.exit,0.331,0.888307,-0.046134,14.512355,EXS.death,0.4872
smell,PER.smell,0.7778,0.914251,-0.046136,8.952405,PER.untouched,0.4316
identicalness,REL.same,0.5322,0.753656,-0.046253,7.126806,FND.time,0.3414
ascend,ACT.rise,0.5322,0.81883,-0.046298,10.898822,MAT.clothing,0.5749
exemption,ABS.release,0.3318,0.834703,-0.046427,9.882732,EMO.apology,0.5487
appropriate,ACT.take,0.4389,0.900702,-0.046534,10.770616,ACT.leave,0.6338
sea,NAT.sea,0.679,0.849437,-0.046537,10.142978,ELM.sun,0.7758
corruption,CHG.decay,0.6693,0.833926,-0.046644,12.141882,SOC.attack,0.54
live up to,EMO.satisfaction,0.4547,0.879032,-0.046719,5.966312,EMO.courage,0.374
keister,ACT.sit,0.5683,0.882608,-0.046924,8.232758,BOD.eye,0.536
hold,SOC.defend,0.4521,0.8576,-0.046931,5.280286,ACT.stop,0.3724
forgery,VAL.falsehood,0.3474,0.835784,-0.04696,7.062099,PER.bitter,0.4161
go out,ACT.leave,0.54,0.834176,-0.04702,13.829527,REL.alone,0.4045
falsehood,VAL.falsehood,0.6895,0.818733,-0.047124,10.371956,VAL.incorrect,0.4884
agrarian,SOC.village,0.5816,0.827539,-0.047184,7.540852,ELM.night,0.8778
give off,ACT.emit,0.5766,0.860346,-0.047267,6.780713,ELM.light,0.6304
icy,PRP.cold,0.4179,0.887485,-0.047296,7.799247,ELM.darkness,0.749
collaborative,COM.cooperate,0.5964,0.85672,-0.047301,6.761383,REL.together,0.3762
profit,ECO.income,0.4879,0.810762,-0.04733,17.694682,LOG.reason,0.3655
arriver,ACT.arrive,0.6478,0.888945,-0.047354,8.231097,ACT.obtain,0.5895
annoyance,STA.pain,0.3086,0.71655,-0.047438,12.01468,STA.wound,0.3362
recollection,FND.memory,0.6246,0.910786,-0.047456,9.017755,ABS.wise,0.5656
watch,COG.learn,0.4318,0.645497,-0.04769,9.709117,SOC.individual,0.7272
long,PRP.long,0.551,0.870941,-0.047695,3.709163,PRP.wide,0.3987
cognizance,COG.know,0.496,0.886595,-0.047804,12.230644,COG.remember,0.5241
dash,ACT.move,0.3828,0.877911,-0.047894,10.169888,ACT.leave,0.7629
pleasure,EMO.satisfaction,0.5565,0.876617,-0.047957,14.011995,ABS.other,0.4933
liquidness,ELM.water,0.3883,0.818372,-0.04801,6.185727,NAT.river,0.323
retard,PRP.slow,0.3991,0.758679,-0.048016,8.190809,CHG.advance,0.4102
mold,ACT.make,0.4246,0.866937,-0.048029,6.285601,COG.separate,0.2988
hindrance,SOC.obstruct,0.5383,0.796627,-0.048322,7.274684,ABS.bound,0.3093
scrubs,MAT.clothing,0.4763,0.896185,-0.048366,7.388292,PER.delicious,0.5782
entire,PRP.whole,0.3397,0.749129,-0.048482,7.973333,SPC.inside,0.7991
man,BEI.human,0.39,0.896858,-0.048642,8.091563,EXS.presence,0.5013
bottom,ACT.sit,0.5683,0.885734,-0.048749,8.072483,BOD.eye,0.4622
catch,PER.see,0.4304,0.841918,-0.048797,8.038179,ACT.emit,0.7121
vital force,EXS.vitality,0.4414,0.848078,-0.048818,11.88515,EXS.spirit,0.4546
dryness,PRP.dry,0.5853,0.845349,-0.049027,7.067615,BOD.foot,0.623
deracination,SOC.homeless,0.3524,0.854522,-0.049051,13.148225,STA.war,0.503
stop,CHG.stay,0.3881,0.835145,-0.04908,9.693825,STA.comfort,0.4461
small town,SOC.village,0.6523,0.804886,-0.049163,8.996172,NAT.sea,0.9656
automatic,COG.mindless,0.4923,0.896553,-0.049238,8.564502,PRP.single,0.6102
correct,VAL.correct,0.6616,0.862429,-0.049334,4.961158,ABS.wise,0.3735
veil,COM.secret,0.6121,0.833675,-0.049343,7.754991,PER.hear,0.6035
walk,ACT.go,0.5866,0.94072,-0.049579,8.826831,PRP.small,0.6534
run,ACT.move,0.3861,0.915687,-0.049598,9.127859,PER.smell,0.6972
prepare,ACT.create,0.3563,0.837867,-0.049689,8.654827,ACT.make,0.3962
submergence,ACT.sink,0.7489,0.861108,-0.049735,7.985314,PRP.dry,0.6799
build,ACT.create,0.3893,0.801039,-0.049762,13.4707,ACT.build,0.4586
flat,PER.tasteless,0.5387,0.91112,-0.049764,11.65483,PER.blind,0.4317
alimentary,MAT.food,0.4566,0.825094,-0.049817,7.064992,PRP.aged,0.5186
lead,COM.conduct,0.3284,0.862292,-0.049971,11.607252,COM.teach,0.3667
solace,ACT.calm,0.5308,0.913844,-0.049988,6.547379,EMO.love,0.5879
clip,MAT.clothing,0.3868,0.8389,-0.050072,11.087419,SOC.pass,0.5158
dismantling,ACT.destroy,0.4072,0.851347,-0.05024,9.185634,CHG.decay,0.7749
arse,ACT.sit,0.5683,0.904035,-0.050275,7.903901,PER.taste,0.5508
factor,FND.number,0.4011,0.642435,-0.050285,9.583969,FND.uninformed,0.5378
dumb,COM.muteness,0.6585,0.803537,-0.050291,7.898734,WLD.unskilled,0.3654
ground,LOG.reason,0.3976,0.816294,-0.050324,13.09067,FND.history,0.4896
petal,NAT.flower,0.3455,0.830201,-0.050399,16.69136,ACT.build,0.4244
dissolving,ACT.dissolve,0.6356,0.898985,-0.050465,8.550215,CHG.decay,0.6686
inodorous,PER.odorless,0.622,0.866854,-0.050482,8.180365,ACT.go,0.6314
prevarication,VAL.falsehood,0.645,0.872443,-0.050684,6.270881,EMO.worry,0.6875
discharge,ACT.emit,0.6774,0.877119,-0.050722,6.383221,EXS.matter,0.8084
withdraw,CHG.retreat,0.4452,0.61741,-0.05081,7.624879,ELM.earth,0.4659
descent,ACT.move,0.3392,0.84812,-0.050831,6.334241,CHG.retreat,0.3208
wide,PRP.wide,0.587,0.834516,-0.05094,10.485771,WLD.outer_realm,0.5186
ruefulness,EMO.sorrow,0.5127,0.86445,-0.050995,8.225433,EMO.satisfaction,0.5106
compeer,REL.same,0.355,0.849583,-0.051235,14.710685,EMO.love,0.4621
mental rejection,EMO.doubt,0.5559,0.867642,-0.051237,7.532425,EMO.anxiety,0.894
speech,COM.speak,0.5911,0.852515,-0.051245,15.912429,COM.question,0.349
comer,ACT.arrive,0.6478,0.800622,-0.051268,6.735137,MAT.food,0.754
redolent,PER.fragrance,0.3553,0.869495,-0.051284,8.543657,VAL.beauty,0.6055
build up,ACT.build,0.3746,0.745493,-0.051335,9.27013,FND.spatiality,0.5782
commence,CHG.begin,0.4993,0.716079,-0.051342,10.480193,ACT.create,0.5743
article of clothing,MAT.clothing,0.6394,0.888954,-0.051355,8.02813,ACT.sit,0.527
buy,ECO.pay,0.341,0.81238,-0.051446,6.795178,PRP.near,0.4198
uprise,ACT.rise,0.5322,0.859414,-0.051477,6.908042,ACT.go,0.6037
aromatize,PER.fragrance,0.5519,0.845452,-0.051496,7.154466,PRP.clean,0.5944
derriere,ACT.sit,0.5683,0.883877,-0.051529,7.630966,PER.delicious,0.6705
workflow,CHG.advance,0.672,0.540135,-0.051748,12.660753,LOG.effect,0.5305
taxonomical,WLD.science,0.3701,0.789198,-0.051778,13.552947,SOC.nation,0.4911
jubilation,EMO.joy,0.6556,0.880581,-0.052025,6.782314,PER.soundless,0.5852
dirt,ELM.earth,0.564,0.805322,-0.052158,11.03699,MAT.tool,0.6377
building,ACT.create,0.3707,0.729772,-0.052239,13.039555,PRP.new,0.5288
virginal,VAL.good,0.3694,0.867564,-0.052279,8.195652,EMO.patience,0.7082
peer,REL.same,0.355,0.875679,-0.052352,10.07157,SOC.family,0.8161
check,SOC.obstruct,0.4737,0.746556,-0.052353,8.094379,PRP.dirty,0.3456
heartbreak,EMO.sorrow,0.7077,0.761372,-0.052366,11.198147,SOC.stateless,0.5381
breezy,ELM.wind,0.5857,0.810553,-0.052391,8.544681,PRP.possible,0.6293
split second,TIM.moment,0.3674,0.723948,-0.052396,6.328496,TIM.past,0.3427
action,COM.conduct,0.4686,0.828291,-0.052417,12.48233,FND.transformation,0.5384
automatic,FND.unconscious,0.3866,0.821258,-0.052455,7.156637,WLD.technique,0.3372
duration,FND.temporality,0.777,0.817395,-0.052545,7.948705,FND.numberless,0.5631
lurch,ACT.move,0.463,0.765497,-0.05255,7.847918,PRP.wet,0.4569
arise,ACT.rise,0.4194,0.898862,-0.052605,9.258566,ACT.lie_down,0.6367
secure,ACT.obtain,0.4422,0.846637,-0.052772,5.68395,BEI.male,0.3343
vestal,VAL.good,0.3694,0.869752,-0.052772,8.096914,WLD.religion,0.6373
swap,ECO.sell,0.6097,0.784774,-0.052791,7.51366,ACT.obtain,0.6493
come,ACT.descend,0.377,0.880779,-0.052808,6.667131,ELM.water,0.9421
mixer,FND.transformation,0.5196,0.852925,-0.052813,14.719848,STA.healing,0.3736
